Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-15-2022,46547.732713100326,2015 M3,37424,-0.97,-1.26,-3.4
08-25-2022,45812.63511717806,2015 M3,37424,-0.97,-1.26,-3.4
10-05-2022,45554.246342672945,2015 M3,37424,-0.97,-1.26,-3.4
11-15-2022,44902.59418808411,2015 M3,37424,-0.97,-1.26,-3.4
12-26-2022,43389.21412916423,2015 M3,37424,-0.97,-1.26,-3.4
02-05-2023,42476.22766505148,2015 M3,37424,-0.97,-1.26,-3.4
03-18-2023,41682.083511586454,2015 M3,37424,-0.97,-1.26,-3.4
04-28-2023,42636.96749036102,2015 M3,37424,-0.97,-1.26,-3.4
06-08-2023,42452.44834017158,2015 M3,37424,-0.97,-1.26,-3.4
07-19-2023,41965.23590909091,2015 M3,37424,-0.97,-1.26,-3.4
08-29-2023,41626.51517690875,2015 M3,37424,-0.97,-1.26,-3.4
10-09-2023,41961.32937654831,2015 M3,37424,-0.97,-1.26,-3.4
11-19-2023,41515.85258264463,2015 M3,37424,-0.97,-1.26,-3.4
12-30-2023,39290.54344380403,2015 M3,37424,-0.97,-1.26,-3.4
02-09-2024,37591.67250740375,2015 M3,37424,-0.97,-1.26,-3.4
03-21-2024,37227.38188444924,2015 M3,37424,-0.97,-1.26,-3.4
05-01-2024,37685.20318825911,2015 M3,37424,-0.97,-1.26,-3.4
06-11-2024,37395.38043478261,2015 M3,37424,-0.97,-1.26,-3.4
07-22-2024,38384.31497175141,2015 M3,37424,-0.97,-1.26,-3.4
09-01-2024,38908.209360730594,2015 M3,37424,-0.97,-1.26,-3.4
10-12-2024,37921.60352521196,2015 M3,37424,-0.97,-1.26,-3.4
11-22-2024,37556.73548187809,2015 M3,37424,-0.97,-1.26,-3.4
04-20-2021,85912.11111111111,2021 M3,70176,-1.95,-2.25,-4.82
05-31-2021,84796.09308226495,2021 M3,70176,-1.95,-2.25,-4.82
07-11-2021,82545.59311440677,2021 M3,70176,-1.95,-2.25,-4.82
08-21-2021,82950.84102564103,2021 M3,70176,-1.95,-2.25,-4.82
10-01-2021,89003.8468866171,2021 M3,70176,-1.95,-2.25,-4.82
11-11-2021,93859.43798524844,2021 M3,70176,-1.95,-2.25,-4.82
12-22-2021,95764.81004998685,2021 M3,70176,-1.95,-2.25,-4.82
02-01-2022,95441.95216296635,2021 M3,70176,-1.95,-2.25,-4.82
03-14-2022,93864.49724487547,2021 M3,70176,-1.95,-2.25,-4.82
04-24-2022,91707.41829371816,2021 M3,70176,-1.95,-2.25,-4.82
06-04-2022,90536.4759090909,2021 M3,70176,-1.95,-2.25,-4.82
07-15-2022,90994.96347363328,2021 M3,70176,-1.95,-2.25,-4.82
08-25-2022,90359.37901527119,2021 M3,70176,-1.95,-2.25,-4.82
10-05-2022,87180.46022590723,2021 M3,70176,-1.95,-2.25,-4.82
11-15-2022,84569.74773804395,2021 M3,70176,-1.95,-2.25,-4.82
12-26-2022,82386.6204906205,2021 M3,70176,-1.95,-2.25,-4.82
02-05-2023,81331.79942583732,2021 M3,70176,-1.95,-2.25,-4.82
03-18-2023,80320.22448320413,2021 M3,70176,-1.95,-2.25,-4.82
04-28-2023,80220.346921797,2021 M3,70176,-1.95,-2.25,-4.82
06-08-2023,78526.63735119048,2021 M3,70176,-1.95,-2.25,-4.82
07-19-2023,78475.58530096442,2021 M3,70176,-1.95,-2.25,-4.82
08-29-2023,78094.46921549155,2021 M3,70176,-1.95,-2.25,-4.82
10-09-2023,76473.30079470198,2021 M3,70176,-1.95,-2.25,-4.82
11-19-2023,75334.11607615018,2021 M3,70176,-1.95,-2.25,-4.82
12-30-2023,74001.89477557027,2021 M3,70176,-1.95,-2.25,-4.82
02-09-2024,72145.70656988189,2021 M3,70176,-1.95,-2.25,-4.82
03-21-2024,71302.89236201935,2021 M3,70176,-1.95,-2.25,-4.82
05-01-2024,71418.44619000495,2021 M3,70176,-1.95,-2.25,-4.82
06-11-2024,71385.45910440941,2021 M3,70176,-1.95,-2.25,-4.82
07-22-2024,71395.28127068166,2021 M3,70176,-1.95,-2.25,-4.82
09-01-2024,71287.69204685574,2021 M3,70176,-1.95,-2.25,-4.82
10-12-2024,71890.86161658909,2021 M3,70176,-1.95,-2.25,-4.82
11-22-2024,72020.9941162898,2021 M3,70176,-1.95,-2.25,-4.82
01-02-2014,24837.83439933259,2006 M3,32882,-9.27,-9.29,-10.29
02-12-2014,24354.591258683427,2006 M3,32882,-9.27,-9.29,-10.29
03-25-2014,24360.489432260347,2006 M3,32882,-9.27,-9.29,-10.29
05-05-2014,25117.121901939656,2006 M3,32882,-9.27,-9.29,-10.29
06-15-2014,24784.807630368097,2006 M3,32882,-9.27,-9.29,-10.29
07-26-2014,25061.620990433315,2006 M3,32882,-9.27,-9.29,-10.29
09-05-2014,24292.198126911317,2006 M3,32882,-9.27,-9.29,-10.29
10-16-2014,23538.342000611807,2006 M3,32882,-9.27,-9.29,-10.29
11-26-2014,23214.938235294117,2006 M3,32882,-9.27,-9.29,-10.29
01-06-2015,23203.845199443414,2006 M3,32882,-9.27,-9.29,-10.29
02-16-2015,22925.635303687635,2006 M3,32882,-9.27,-9.29,-10.29
03-29-2015,22582.33496703678,2006 M3,32882,-9.27,-9.29,-10.29
05-09-2015,22965.3124024961,2006 M3,32882,-9.27,-9.29,-10.29
06-19-2015,23255.92763359951,2006 M3,32882,-9.27,-9.29,-10.29
07-30-2015,23524.362455330553,2006 M3,32882,-9.27,-9.29,-10.29
09-09-2015,22354.62392857143,2006 M3,32882,-9.27,-9.29,-10.29
10-20-2015,21718.043556491037,2006 M3,32882,-9.27,-9.29,-10.29
11-30-2015,21061.301046269822,2006 M3,32882,-9.27,-9.29,-10.29
01-10-2016,20757.000433168316,2006 M3,32882,-9.27,-9.29,-10.29
02-20-2016,20265.26919450431,2006 M3,32882,-9.27,-9.29,-10.29
04-01-2016,19965.130393939395,2006 M3,32882,-9.27,-9.29,-10.29
05-12-2016,20545.668792633016,2006 M3,32882,-9.27,-9.29,-10.29
06-22-2016,20115.81762295082,2006 M3,32882,-9.27,-9.29,-10.29
08-02-2016,20051.024810366624,2006 M3,32882,-9.27,-9.29,-10.29
09-12-2016,19655.661788799523,2006 M3,32882,-9.27,-9.29,-10.29
10-23-2016,18948.201535443724,2006 M3,32882,-9.27,-9.29,-10.29
12-03-2016,19001.09833333333,2006 M3,32882,-9.27,-9.29,-10.29
01-13-2017,18944.24864735837,2006 M3,32882,-9.27,-9.29,-10.29
02-23-2017,18594.12196867632,2006 M3,32882,-9.27,-9.29,-10.29
04-05-2017,19197.471653225806,2006 M3,32882,-9.27,-9.29,-10.29
05-16-2017,19358.9620375895,2006 M3,32882,-9.27,-9.29,-10.29
06-26-2017,19511.446188038793,2006 M3,32882,-9.27,-9.29,-10.29
08-06-2017,19274.263461538463,2006 M3,32882,-9.27,-9.29,-10.29
09-16-2017,21104.464093011306,2006 M3,32882,-9.27,-9.29,-10.29
10-27-2017,21245.337150049116,2006 M3,32882,-9.27,-9.29,-10.29
12-07-2017,20450.299696969698,2006 M3,32882,-9.27,-9.29,-10.29
01-17-2018,19915.660450516985,2006 M3,32882,-9.27,-9.29,-10.29
02-27-2018,18685.094399810965,2006 M3,32882,-9.27,-9.29,-10.29
04-09-2018,19066.239142989143,2006 M3,32882,-9.27,-9.29,-10.29
05-20-2018,19137.425142999255,2006 M3,32882,-9.27,-9.29,-10.29
06-30-2018,19438.4548553719,2006 M3,32882,-9.27,-9.29,-10.29
08-10-2018,19454.63922604035,2006 M3,32882,-9.27,-9.29,-10.29
09-20-2018,19162.76960438008,2006 M3,32882,-9.27,-9.29,-10.29
10-31-2018,19151.720023777172,2006 M3,32882,-9.27,-9.29,-10.29
12-11-2018,18956.90569752491,2006 M3,32882,-9.27,-9.29,-10.29
01-21-2019,18667.615650122334,2006 M3,32882,-9.27,-9.29,-10.29
03-03-2019,18454.888418347924,2006 M3,32882,-9.27,-9.29,-10.29
04-13-2019,17950.36920849421,2006 M3,32882,-9.27,-9.29,-10.29
05-24-2019,18183.729757302404,2006 M3,32882,-9.27,-9.29,-10.29
07-04-2019,18607.69945818739,2006 M3,32882,-9.27,-9.29,-10.29
08-14-2019,18732.0521795902,2006 M3,32882,-9.27,-9.29,-10.29
09-24-2019,19083.149920571883,2006 M3,32882,-9.27,-9.29,-10.29
11-04-2019,19506.755136605952,2006 M3,32882,-9.27,-9.29,-10.29
12-15-2019,19369.950740200165,2006 M3,32882,-9.27,-9.29,-10.29
01-25-2020,19559.575313211844,2006 M3,32882,-9.27,-9.29,-10.29
03-06-2020,20711.531483457846,2006 M3,32882,-9.27,-9.29,-10.29
04-16-2020,22658.785807692308,2006 M3,32882,-9.27,-9.29,-10.29
05-27-2020,23214.03320523193,2006 M3,32882,-9.27,-9.29,-10.29
07-07-2020,23181.93630636605,2006 M3,32882,-9.27,-9.29,-10.29
08-17-2020,23644.65881147541,2006 M3,32882,-9.27,-9.29,-10.29
09-27-2020,24348.307489262705,2006 M3,32882,-9.27,-9.29,-10.29
11-07-2020,24411.74162323157,2006 M3,32882,-9.27,-9.29,-10.29
12-18-2020,22299.472996648386,2006 M3,32882,-9.27,-9.29,-10.29
01-28-2021,22763.476602330662,2006 M3,32882,-9.27,-9.29,-10.29
03-10-2021,25496.48407643312,2006 M3,32882,-9.27,-9.29,-10.29
04-20-2021,28138.41940905874,2006 M3,32882,-9.27,-9.29,-10.29
05-31-2021,27636.88431346461,2006 M3,32882,-9.27,-9.29,-10.29
07-11-2021,26287.497844827587,2006 M3,32882,-9.27,-9.29,-10.29
08-21-2021,25407.40864520958,2006 M3,32882,-9.27,-9.29,-10.29
10-01-2021,26398.49381377551,2006 M3,32882,-9.27,-9.29,-10.29
11-11-2021,27209.847542964555,2006 M3,32882,-9.27,-9.29,-10.29
